topic,review_count,avg_sentiment,avg_rating,negative_pct,positive_pct,theme_label
0,56502,0.33554012778308734,3.4887437612827865,23.643410852713178,65.45785989876465,"the, phone, and, it, to, is, this, for"
1,6151,0.6094830759226142,4.692407738579093,2.7800357665420257,91.23719720370671,"product, good, it, excellent, great, very, for, and"
2,2366,-0.04018114961961116,2.3119188503803887,44.63229078613694,30.473372781065088,"battery, it, not, charge, the, and, to, work"
3,1766,0.49430939977349947,4.154020385050963,14.496036240090602,79.89807474518686,"case, the, otterbox, it, my, and, for, to"
4,889,0.3547898762654668,4.537682789651294,3.487064116985377,62.65466816647919,"expected, what, thanks, expectations, exactly, everything, thank, was"
5,345,0.42229014492753625,3.9217391304347826,11.304347826086957,70.72463768115942,"fits, fit, it, small, smaller, great, for, and"
6,129,-0.11860542635658915,1.8449612403100775,43.41085271317829,21.705426356589147,"wifi, not, internet, connect, the, to, work, and"
8,100,0.300844,4.88,0.0,59.0,"excelent, product, good, goog, assistance, thank, very, seller"
7,73,0.026568493150684935,2.904109589041096,31.506849315068493,38.35616438356164,"dirty, black, color, purple, it, gets, lamb, ordered"
10,40,-0.1323925,1.3,55.00000000000001,37.5,"waste, money, dont, of, your, pos, worth, buy"
9,37,0.32763243243243245,3.5675675675675675,21.62162162162162,72.97297297297297,"bb, the, to, and, as, it, have, my"
